UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,SUN DURATION,DAYS,Sun duration in min,Time measurment
1475229326.0,8/31/16 12:00 AM,23:55:26,1.21,48.0,30.46,59.0,177.39,5.62,06:13:00,18:13:00,12:00:00,,,1435.0
1475229023.0,9/29/16 12:00 AM,23:50:23,1.21,48.0,30.46,58.0,176.78,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1430.0
1475228726.0,9/29/16 12:00 AM,23:45:26,1.23,48.0,30.46,57.0,158.75,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1425.0
1475228421.0,9/29/16 12:00 AM,23:40:21,1.21,48.0,30.46,60.0,137.71,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1420.0
1475228124.0,9/29/16 12:00 AM,23:35:24,1.17,48.0,30.46,62.0,104.95,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1415.0
1475227824.0,9/29/16 12:00 AM,23:30:24,1.21,48.0,30.46,64.0,120.2,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1410.0
1475227519.0,9/29/16 12:00 AM,23:25:19,1.2,49.0,30.46,72.0,112.45,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1405.0
1475227222.0,9/29/16 12:00 AM,23:20:22,1.24,49.0,30.46,71.0,122.97,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1400.0
1475226922.0,9/29/16 12:00 AM,23:15:22,1.23,49.0,30.46,80.0,101.18,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1395.0
1475226622.0,9/29/16 12:00 AM,23:10:22,1.21,49.0,30.46,85.0,141.87,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1390.0
1475226323.0,9/29/16 12:00 AM,23:05:23,1.23,49.0,30.47,93.0,120.55,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1385.0
1475226025.0,9/29/16 12:00 AM,23:00:25,1.21,49.0,30.47,98.0,144.19,3.37,06:13:00,18:13:00,12:00:00,29.0,720.0,1380.0
1475225720.0,9/29/16 12:00 AM,22:55:20,1.22,49.0,30.47,99.0,139.8,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1375.0
1475225419.0,9/29/16 12:00 AM,22:50:19,1.21,50.0,30.47,99.0,140.92,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1370.0
1475225131.0,9/29/16 12:00 AM,22:45:31,1.23,50.0,30.47,99.0,147.61,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1366.0
1475224823.0,9/29/16 12:00 AM,22:40:23,1.22,50.0,30.47,99.0,113.78,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1360.0
1475224519.0,9/29/16 12:00 AM,22:35:19,1.21,50.0,30.47,99.0,123.03,10.12,06:13:00,18:13:00,12:00:00,29.0,720.0,1355.0
1475224222.0,9/29/16 12:00 AM,22:30:22,1.22,50.0,30.47,99.0,173.73,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1350.0
1475223919.0,9/29/16 12:00 AM,22:25:19,1.22,50.0,30.47,98.0,91.43,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1345.0
1475223622.0,9/29/16 12:00 AM,22:20:22,1.2,50.0,30.47,98.0,109.74,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1340.0
1475223322.0,9/29/16 12:00 AM,22:15:22,1.2,50.0,30.47,98.0,143.53,2.25,06:13:00,18:13:00,12:00:00,29.0,720.0,1335.0
1475223021.0,9/29/16 12:00 AM,22:10:21,1.2,50.0,30.47,97.0,146.76,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1330.0
1475222720.0,9/29/16 12:00 AM,22:05:20,1.21,50.0,30.47,97.0,158.35,4.5,06:13:00,18:13:00,12:00:00,29.0,720.0,1325.0
1475222426.0,9/29/16 12:00 AM,22:00:26,1.22,50.0,30.47,97.0,166.05,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1320.0
1475222120.0,9/29/16 12:00 AM,21:55:20,1.22,50.0,30.47,96.0,151.82,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1315.0
1475221832.0,9/29/16 12:00 AM,21:50:32,1.22,50.0,30.47,96.0,152.52,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1311.0
1475221528.0,9/29/16 12:00 AM,21:45:28,1.24,50.0,30.47,95.0,127.82,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1305.0
1475221220.0,9/29/16 12:00 AM,21:40:20,1.23,50.0,30.47,95.0,157.58,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1300.0
1475220921.0,9/29/16 12:00 AM,21:35:21,1.23,50.0,30.47,95.0,172.96,7.87,06:13:00,18:13:00,12:00:00,29.0,720.0,1295.0
1475220621.0,9/29/16 12:00 AM,21:30:21,1.23,50.0,30.47,95.0,143.82,6.75,06:13:00,18:13:00,12:00:00,29.0,720.0,1290.0
1475220322.0,9/29/16 12:00 AM,21:25:22,1.24,50.0,30.47,94.0,154.03,5.62,06:13:00,18:13:00,12:00:00,29.0,720.0,1285.0
